id,title,original_title,overview,poster_path,media_type,popularity,release_date,vote_average,vote_count,imdb_id,status,revenue,budget,collection,productions,genres,release_year,type
673,Harry Potter e o Prisioneiro de Azkaban,Harry Potter and the Prisoner of Azkaban,"Quando a desprezível Tia Guida voa pelo céu na noite, Harry parte para o que será seu terceiro ano em Hogwarts. Um passeio no Nôitibus o leva para o Beco Diagonal onde ele fica sabendo que um prisioneiro foragido, Sirius Black está atrás dele. Em Hogwarts, Harry e seus amigos aprendem a delicada arte de se aproximar de um Hipogrifo, como transformar monstros em risadas e até mesmo a voltar no tempo. Dementadores sugadores de almas pairam sobre Hogwarts, ameaçando Harry, enquanto um seguidor de Aquele-Que-Não-Se-Deve-Nomear espreita pela escola. E Harry será forçado a confrontar todos eles. Dirigido por Alfonso Cuarón e baseado no terceiro livro de J.K. Rowling, essa maravilhosa história traz risadas, suspense e surpresas de tirar o fôlego, a especialidade dos filmes de Harry Potter. Prepare-se!",https://image.tmdb.org/t/p/w220_and_h330_face/1HdMUghqlgOIvbsU9ZtO40IPRzl.jpg,movie,227.765,2004-05-31,8.021,19139,tt0304141,Released,789804554,130000000,Harry Potter: Coleção,"['Warner Bros. Pictures', '1492 Pictures', 'Heyday Films', 'P of A Productions Limited']","['Aventura', 'Fantasia']",2004,trending_week
299537,Capitã Marvel,Captain Marvel,"Capitã Marvel, parte do exército de elite dos Kree, uma raça alienígena, encontra-se no meio de uma batalha entre seu povo e os Skrulls. Ao tentar impedir uma invasão de larga escala na Terra, em 1995, ela tem memórias recorrentes de uma outra vida, como Carol Danvers, agente da Força Aérea norte-americana. Com a ajuda de Nick Fury, Capitã Marvel precisa descobrir os segredos de seu passado e pôr um fim ao conflito intergalático com os Skrulls.",https://image.tmdb.org/t/p/w220_and_h330_face/hVgLHgnsO46oSHJy5I4ekhqtoYv.jpg,movie,85.375,2019-03-06,6.872,13984,tt4154664,Released,1131416446,152000000,Capitã Marvel: Coleção,['Marvel Studios'],"['Ação', 'Aventura', 'Ficção científica']",2019,trending_week
335984,Blade Runner 2049,Blade Runner 2049,"Após descobrir um segredo enterrado há muito tempo, que ameaça o que resta da sociedade, um novo policial embarca na busca de Rick Deckard, que está desaparecido há 30 anos.",https://image.tmdb.org/t/p/w220_and_h330_face/qWD9E0Wgn8w6nMMutCNFAUiSHrX.jpg,movie,117.601,2017-10-04,7.523,11591,tt1856101,Released,259239658,150000000,Blade Runner: Coleção,"['Columbia Pictures', 'Warner Bros. Pictures', 'Alcon Entertainment', 'Scott Free Productions', 'Thunderbird Entertainment', 'Torridon Films', '16:14 Entertainment']","['Ficção científica', 'Drama']",2017,trending_week
1771,Capitão América: O Primeiro Vingador,Captain America: The First Avenger,"Durante a Segunda Guerra Mundial, Steve Rogers é um homem doente, do Brooklyn, que se transforma no super soldado Capitão América para ajudar nos esforços de guerra. Rogers deve parar o Caveira Vermelha, o implacável chefe de armas de Adolf Hitler e líder de uma organização que pretende usar um misterioso mecanismo de incalculáveis poderes para dominar o mundo.",https://image.tmdb.org/t/p/w220_and_h330_face/f976JQnjMhCTa1yLXz7UH1pV4DG.jpg,movie,69.62,2011-07-22,6.988,19572,tt0458339,Released,370569774,140000000,Capitão América: Coleção,['Marvel Studios'],"['Ação', 'Aventura', 'Ficção científica']",2011,trending_week
2034,Dia de Treinamento,Training Day,"Jake Hoyt, um jovem policial de Los Angeles, entra para a equipe de narcóticos da polícia e recebe como oficial de treinamento e parcerio Alonzo Harris, um policial veterano e corrupto. Com o passar do dia, o jovem é exposto a todo tipo de corrupção e é ainda acusado de assassinato, acontecimentos que são orquestrados por Alonzo a fim de encobrir um engano cometido por ele junto à máfia russa, que pode fazer com que ele seja morto se não conseguir uma grande quantia de dinheiro até a meia-noite.",https://image.tmdb.org/t/p/w220_and_h330_face/5X4zeznwORmk3c7al9G86fwzkSq.jpg,movie,62.174,2001-10-05,7.466,5053,tt0139654,Released,104876233,45000000,Training Day Collection,"['Village Roadshow Pictures', 'NPV Entertainment', 'Warner Bros. Pictures', 'Outlaw Productions', 'WV Films II']","['Ação', 'Crime', 'Drama']",2001,trending_week
121,O Senhor dos Anéis: As Duas Torres,The Lord of the Rings: The Two Towers,"Após a captura de Merry e Pippy pelos orcs, a Sociedade do Anel é dissolvida. Frodo e Sam seguem sua jornada rumo à Montanha da Perdição para destruir o anel e descobrem que estão sendo perseguidos pelo misterioso Gollum. Enquanto isso, Aragorn, o elfo e arqueiro Legolas e o anão Gimli partem para resgatar os hobbits sequestrados e chegam ao reino de Rohan, onde o rei Theoden foi vítima de uma maldição mortal de Saruman.",https://image.tmdb.org/t/p/w220_and_h330_face/20eUL6eN89SM0U7KPDw8iR82mOT.jpg,movie,103.034,2002-12-18,8.375,19391,tt0167261,Released,926287400,79000000,O Senhor dos Anéis: Coleção,"['WingNut Films', 'New Line Cinema', 'The Saul Zaentz Company']","['Aventura', 'Fantasia', 'Ação']",2002,trending_week
882598,Sorria,Smile,"Após testemunhar um acidente traumático e bizarro envolvendo um paciente, a Dra. Rose Cotter começa a vivenciar eventos assustadores que ela não consegue explicar.",https://image.tmdb.org/t/p/w220_and_h330_face/aDTXsc8uzJuvPLvfFBXTf9rYyTf.jpg,movie,401.254,2022-09-23,6.808,1667,tt15474916,Released,216135048,17000000,,"['Paramount', 'Temple Hill Entertainment', 'Paramount Players']","['Terror', 'Mistério', 'Thriller']",2022,trending_week
872954,À Maneira Antiga,The Old Way,"Um velho pistoleiro e sua filha devem enfrentar as consequências de seu passado, quando o filho de um homem que ele assassinou anos atrás chega para se vingar.",https://image.tmdb.org/t/p/w220_and_h330_face/8HCCYAIocXxMKn7J9yQfDX1vBM5.jpg,movie,43.708,2023-01-06,5.859,46,tt8593824,Released,0,0,,"['Saturn Films', 'Tri-Fold Pictures', 'EchoWolf Productions', 'Capstone Studios', 'Intercut Capital']","['Ação', 'Faroeste']",2023,trending_week
12444,Harry Potter e as Relíquias da Morte - Parte 1,Harry Potter and the Deathly Hallows: Part 1,"Harry, Ron e Hermione estão determinados em sua missão de descobrir e acabar com o segredo da imortalidade e do poder de destruição de Voldemort – os Horcruxes. Fugitivos e sozinhos, os três amigos devem apenas contar uns com os outros, agora mas do que nunca... Mas as Forças das Trevas no caminho ameaçam separá-los para sempre.",https://image.tmdb.org/t/p/w220_and_h330_face/ujSo74ZKMSnV1j6dU2QlRqYywI8.jpg,movie,194.331,2010-10-06,7.77,17059,tt0926084,Released,954305868,250000000,Harry Potter: Coleção,"['Warner Bros. Pictures', 'Heyday Films']","['Aventura', 'Fantasia']",2010,trending_week
1061163,At Midnight,At Midnight,"A vida de Alejandro muda quando a atriz Sophie Wilder se hospeda no hotel em que ele trabalha. Os dois se envolvem, e passam a se encontrar à meia-noite.",https://image.tmdb.org/t/p/w220_and_h330_face/k6E1f3XvTq0sa02nUykPCwFKsBx.jpg,movie,21.913,2023-02-10,5.75,23,tt14874302,Released,0,0,,"['Paramount', 'Automatik Entertainment', 'Burn Later Productions', 'Teorema', 'VIS', 'Three Amigos']","['Romance', 'Comédia']",2023,trending_week
